FFP_DATE,LOAD_TIME,FLIGHT_COUNT,SEG_KM_SUM,LAST_TO_END,avg_discount
2006/7/23,2014/3/31,109,144321,8,0.914492693
2006/7/10,2014/3/31,180,182540,9,0.720028487
2010/1/13,2014/3/31,103,218087,1,0.602317149
2005/1/19,2014/3/31,107,155834,8,0.841613512
2011/3/30,2014/3/31,14,125796,121,1.040394289
2010/2/12,2014/3/31,149,155588,2,0.836742487
2011/9/13,2014/3/31,76,94185,49,1.380177417
2007/2/10,2014/3/31,55,94577,3,1.369523774
2011/9/21,2014/3/31,80,92022,4,1.407186108
2005/1/23,2014/3/31,40,139742,16,0.926317142
2006/1/15,2014/3/31,142,183472,7,0.702883928
2013/3/16,2014/3/31,14,126850,23,1.016463224
2011/2/25,2014/3/31,24,125340,30,1.026238631
2011/5/12,2014/3/31,13,126495,18,1.014545871
2006/12/6,2014/3/31,85,151736,2,0.843447435
2005/3/2,2014/3/31,68,117537,3,1.085817147
2005/3/31,2014/3/31,116,161730,8,0.786706177
2012/4/9,2014/3/31,123,89350,2,1.419099832
2007/4/4,2014/3/31,47,91018,17,1.389867279
2010/8/8,2014/3/31,14,123662,95,1.022610665
2006/6/20,2014/3/31,49,90602,107,1.394936204
2005/5/27,2014/3/31,86,157799,2,0.799002655
2008/2/18,2014/3/31,60,106278,11,1.182681834
2005/7/24,2014/3/31,110,166843,4,0.750906841
2010/8/10,2014/3/31,15,183480,179,0.681333333
2005/3/20,2014/3/31,67,119347,2,1.046676247
2010/2/13,2014/3/31,51,99034,1,1.259950118
2010/5/17,2014/3/31,74,96520,69,1.289827497
2010/9/18,2014/3/31,12,121632,27,1.023333333
2009/11/1,2014/3/31,59,85171,6,1.461263576
2009/8/27,2014/3/31,120,176951,18,0.701123814
2008/9/2,2014/3/31,60,88428,3,1.40060309
2006/6/5,2014/3/31,57,90553,1,1.366744227
2011/12/18,2014/3/31,43,195034,57,0.631640227
2008/4/20,2014/3/31,113,151060,2,0.81511929
2005/5/1,2014/3/31,42,165589,23,0.743348652
2005/4/27,2014/3/31,58,94554,16,1.299097235
2005/10/12,2014/3/31,16,184227,30,0.66544855
2004/11/23,2014/3/31,122,180074,18,0.68017726
2005/5/29,2014/3/31,72,91164,6,1.343311285
2009/11/13,2014/3/31,113,121394,10,1.008554047
2005/8/2,2014/3/31,77,157206,2,0.777235347
2008/12/13,2014/3/31,57,91658,10,1.332451177
2012/1/4,2014/3/31,16,115401,13,1.057235119
2009/5/8,2014/3/31,77,151637,9,0.803643702
2005/1/20,2014/3/31,88,117157,3,1.039534044
2007/5/27,2014/3/31,13,137604,51,0.884236795
2005/5/20,2014/3/31,124,113615,3,1.070194781
2005/11/17,2014/3/31,69,147549,31,0.823818121
2008/2/26,2014/3/31,66,86430,1,1.406350341
2010/12/1,2014/3/31,26,178921,102,0.679305671
2009/8/1,2014/3/31,59,94946,4,1.273062688
2007/6/4,2014/3/31,125,189177,1,0.637994577
2009/3/14,2014/3/31,97,171544,11,0.701652637
2006/1/25,2014/3/31,57,144505,3,0.832500467
2011/1/4,2014/3/31,64,262290,5,0.457967364
2004/12/24,2014/3/31,49,88903,114,1.350911443
2007/9/17,2014/3/31,58,84353,2,1.423312271
2005/4/6,2014/3/31,136,145540,5,0.82433441
2010/12/17,2014/3/31,68,148879,4,0.804845344
2008/2/11,2014/3/31,71,180226,4,0.664729007
2006/11/1,2014/3/31,116,130636,16,0.916310894
2007/5/28,2014/3/31,110,172640,1,0.693026819
2008/7/21,2014/3/31,105,145253,12,0.823284201
2009/3/3,2014/3/31,52,83356,21,1.433468257
2005/6/16,2014/3/31,106,167199,3,0.714441235
2005/4/17,2014/3/31,11,112128,178,1.065035317
2010/4/28,2014/3/31,59,92635,13,1.283990608
2007/11/29,2014/3/31,59,145433,18,0.817583423
2006/1/16,2014/3/31,83,94441,26,1.254728561
2012/5/8,2014/3/31,10,122320,317,0.966
2008/8/31,2014/3/31,116,136228,1,0.866121649
2005/4/19,2014/3/31,95,138873,2,0.849043083
2011/8/20,2014/3/31,79,151183,6,0.778897164
2006/3/28,2014/3/31,76,86061,7,1.367977249
2007/7/14,2014/3/31,100,91727,1,1.282347182
2004/11/20,2014/3/31,107,165304,1,0.710868219
2006/2/2,2014/3/31,25,109336,290,1.074683178
2008/6/1,2014/3/31,114,151625,13,0.774562836
2010/3/10,2014/3/31,57,84080,9,1.394920314
2007/1/9,2014/3/31,76,119514,22,0.98076627
2012/10/17,2014/3/31,11,111496,99,1.05
2006/4/11,2014/3/31,43,94144,30,1.240551283
2011/2/22,2014/3/31,20,148827,22,0.784519543
2007/6/17,2014/3/31,53,85000,32,1.373478
2005/9/9,2014/3/31,56,82981,4,1.403768453
2011/9/28,2014/3/31,84,140535,2,0.827823318
2008/3/15,2014/3/31,111,141864,6,0.819703519
2011/5/30,2014/3/31,109,126167,18,0.921339098
2006/3/2,2014/3/31,60,98083,5,1.175007596
2010/7/25,2014/3/31,61,161499,3,0.713012031
2008/8/28,2014/3/31,43,93447,9,1.231469603
2006/12/7,2014/3/31,149,157683,5,0.724336929
2010/10/20,2014/3/31,43,111807,4,1.020765158
2010/4/25,2014/3/31,56,114358,83,0.995827664
2005/11/15,2014/3/31,94,109142,3,1.040933738
2005/8/30,2014/3/31,84,139338,13,0.811427392
2012/7/20,2014/3/31,16,107047,9,1.051401627
2006/1/24,2014/3/31,128,131315,17,0.856878118
2006/10/26,2014/3/31,124,130776,2,0.860026534
2011/1/28,2014/3/31,111,130622,4,0.859196613
2009/7/9,2014/3/31,77,134838,1,0.832180765
2006/4/2,2014/3/31,42,77936,22,1.436042137
2009/11/2,2014/3/31,124,160524,1,0.695089955
2011/7/25,2014/3/31,19,96503,6,1.156085303
2010/8/28,2014/3/31,53,134627,45,0.828407972
2011/6/1,2014/3/31,61,83245,1,1.337276713
2009/12/12,2014/3/31,17,105377,1,1.056396083
2011/8/28,2014/3/31,48,119036,4,0.934725209
2006/10/13,2014/3/31,26,94249,22,1.178456641
2006/3/11,2014/3/31,43,79426,31,1.395587087
2009/8/7,2014/3/31,87,115134,61,0.962306964
2010/5/22,2014/3/31,114,124499,1,0.889901525
2010/2/19,2014/3/31,54,75651,20,1.462917873
2009/12/9,2014/3/31,68,163454,20,0.676618926
2007/9/28,2014/3/31,112,134757,6,0.82046172
2008/10/12,2014/3/31,73,163958,13,0.673120738
2007/6/12,2014/3/31,49,80641,38,1.368281891
2012/8/22,2014/3/31,40,127004,2,0.868515165
2005/3/16,2014/3/31,82,135413,5,0.81353969
2009/1/17,2014/3/31,154,129582,1,0.848141331
2005/11/17,2014/3/31,58,145294,13,0.755701956
2008/8/12,2014/3/31,52,97731,2,1.120337764
2010/11/10,2014/3/31,43,78765,8,1.388142957
2009/2/9,2014/3/31,105,138593,4,0.788873392
2006/1/10,2014/3/31,97,116461,4,0.93836632
2010/6/9,2014/3/31,17,121870,112,0.896000164
2010/2/26,2014/3/31,32,77106,59,1.416159832
2010/5/31,2014/3/31,37,119320,5,0.914270784
2006/3/31,2014/3/31,86,159612,5,0.682643911
2012/3/17,2014/3/31,62,139995,13,0.778110575
2010/12/16,2014/3/31,67,127081,11,0.856602875
2006/6/29,2014/3/31,84,129836,8,0.837625235
2009/1/15,2014/3/31,117,132853,8,0.816301476
2009/6/10,2014/3/31,122,129272,2,0.837572715
2006/5/4,2014/3/31,87,131029,24,0.82610529
2009/1/20,2014/3/31,73,75413,2,1.434756209
2005/9/9,2014/3/31,97,113939,8,0.949395993
2010/2/23,2014/3/31,93,150612,5,0.7180637
2010/2/23,2014/3/31,83,134621,8,0.801739699
2010/9/15,2014/3/31,105,145865,11,0.737595174
2007/12/28,2014/3/31,27,164336,56,0.654476682
2005/12/21,2014/3/31,24,110964,31,0.968107765
2006/4/6,2014/3/31,137,122439,2,0.874927107
2012/9/2,2014/3/31,57,90144,22,1.187537496
2009/12/5,2014/3/31,50,89115,7,1.201031476
2011/5/27,2014/3/31,45,139898,8,0.765013009
2011/10/17,2014/3/31,109,122024,1,0.877036239
2009/12/15,2014/3/31,46,80830,18,1.32374168
2008/7/22,2014/3/31,77,139876,17,0.763144213
2006/10/1,2014/3/31,60,154736,5,0.689844509
2012/6/12,2014/3/31,66,151383,6,0.705022823
2007/4/3,2014/3/31,77,144030,4,0.74088551
2006/3/4,2014/3/31,77,80208,16,1.325833583
2010/10/21,2014/3/31,28,77108,13,1.378992322
2011/5/8,2014/3/31,34,143761,113,0.739229694
2007/6/11,2014/3/31,62,141413,9,0.751386294
2010/4/30,2014/3/31,53,73717,34,1.440717609
2011/9/18,2014/3/31,37,72741,4,1.459011837
2007/2/10,2014/3/31,94,126174,65,0.839762709
2007/6/21,2014/3/31,48,74411,10,1.423607397
2010/7/28,2014/3/31,52,73647,5,1.430674841
2011/5/11,2014/3/31,52,135689,1,0.776371777
2005/11/2,2014/3/31,59,127314,33,0.827179729
2008/2/26,2014/3/31,72,149171,9,0.705943112
2008/5/19,2014/3/31,47,76753,13,1.37078264
2004/11/23,2014/3/31,107,169750,9,0.619739087
2011/7/11,2014/3/31,96,136246,23,0.771855467
2012/4/18,2014/3/31,132,151273,5,0.694012613
2011/1/19,2014/3/31,168,130985,2,0.800659159
2011/12/5,2014/3/31,49,125237,17,0.837061811
2004/12/2,2014/3/31,12,103960,136,1.00799115
2006/12/6,2014/3/31,36,109695,13,0.954319431
2006/4/23,2014/3/31,21,137610,77,0.760666667
2009/1/17,2014/3/31,60,137654,24,0.760252081
2004/11/26,2014/3/31,84,117382,33,0.8915401
2006/4/3,2014/3/31,59,97219,7,1.075326325
2006/4/16,2014/3/31,118,139566,1,0.746258043
2008/8/20,2014/3/31,49,78417,27,1.327684941
2012/8/28,2014/3/31,74,113789,4,0.91433425
2011/12/10,2014/3/31,64,139827,7,0.744006522
2007/8/8,2014/3/31,47,71121,19,1.461826465
2006/11/8,2014/3/31,46,71012,1,1.462023883
2007/5/29,2014/3/31,115,115562,7,0.8967864
2010/10/2,2014/3/31,28,72232,13,1.434513512
2010/6/25,2014/3/31,12,100421,351,1.029644795
2006/7/23,2014/3/31,65,93221,8,1.107523948
2009/12/12,2014/3/31,24,183418,66,0.562442563
2008/8/8,2014/3/31,50,135574,4,0.760115583
2007/4/25,2014/3/31,98,141053,5,0.728867305
2005/9/4,2014/3/31,46,73338,1,1.398998609
2009/6/17,2014/3/31,61,114031,17,0.899280547
2011/11/10,2014/3/31,28,82659,84,1.238878525
2012/1/16,2014/3/31,28,73852,68,1.386176542
2012/10/12,2014/3/31,17,104641,15,0.978310605
2006/5/18,2014/3/31,51,72274,1,1.416135816
2008/2/24,2014/3/31,85,104969,16,0.974864579
2006/1/25,2014/3/31,128,147767,2,0.69244581
2012/9/8,2014/3/31,23,157186,14,0.650619648
2008/2/14,2014/3/31,78,121231,2,0.84343724
2009/1/5,2014/3/31,67,135439,1,0.754458243
2005/8/11,2014/3/31,96,131739,1,0.775295546
2011/4/3,2014/3/31,118,143796,20,0.710068848
2012/7/15,2014/3/31,86,128754,48,0.792415925
2012/2/15,2014/3/31,36,124032,5,0.82250645
2009/7/1,2014/3/31,10,99312,83,1.025894957
2006/9/18,2014/3/31,34,70486,1,1.443316261
2006/7/21,2014/3/31,23,74910,2,1.357742091
2007/2/1,2014/3/31,76,138952,5,0.731532688
2009/12/26,2014/3/31,45,145724,19,0.696498655
2005/8/15,2014/3/31,111,145458,18,0.697522309
2006/4/14,2014/3/31,47,82382,25,1.230913428
2006/1/30,2014/3/31,84,75766,1,1.337146213
2005/3/27,2014/3/31,134,116627,1,0.867424696
2006/3/27,2014/3/31,46,130782,3,0.771173327
2004/11/1,2014/3/31,96,135009,6,0.746628299
2011/1/3,2014/3/31,16,107690,94,0.936013465
2005/6/22,2014/3/31,83,133367,11,0.755460796
2005/9/3,2014/3/31,93,109943,3,0.91579564
2011/7/1,2014/3/31,13,159016,6,0.632307692
2012/10/13,2014/3/31,36,113253,2,0.886428351
2006/4/28,2014/3/31,73,123568,11,0.810458452
2012/1/14,2014/3/31,98,76759,1,1.303309449
2006/5/5,2014/3/31,116,140571,3,0.710483528
2005/4/26,2014/3/31,61,81113,17,1.230116011
2010/7/19,2014/3/31,85,70965,13,1.401901923
2007/5/16,2014/3/31,48,68459,10,1.453157218
2007/10/17,2014/3/31,104,137698,6,0.721752894
2006/5/19,2014/3/31,57,84129,12,1.179321043
2006/4/13,2014/3/31,43,130985,9,0.757415506
2011/2/25,2014/3/31,101,117880,12,0.841051069
2007/10/30,2014/3/31,69,141164,2,0.702125684
2007/10/31,2014/3/31,71,70069,5,1.413737887
2009/1/6,2014/3/31,124,118049,5,0.837548052
2007/11/16,2014/3/31,86,89195,18,1.10819519
2007/6/22,2014/3/31,82,120536,12,0.818666539
2011/3/7,2014/3/31,122,137879,1,0.714470804
2012/6/2,2014/3/31,18,136876,20,0.718332944
2005/2/8,2014/3/31,39,70792,22,1.387449853
2010/7/1,2014/3/31,83,112709,4,0.870657357
2007/6/6,2014/3/31,81,99888,1,0.982403492
2008/9/23,2014/3/31,66,111545,34,0.8786453
2005/3/16,2014/3/31,46,71622,41,1.365195471
2007/8/31,2014/3/31,75,131146,3,0.745084105
2005/1/28,2014/3/31,69,126180,79,0.774192107
2009/9/3,2014/3/31,45,68136,10,1.432941764
2007/7/3,2014/3/31,36,66829,4,1.460493648
2004/12/2,2014/3/31,106,130691,1,0.746489276
2010/6/14,2014/3/31,64,66612,19,1.464381643
2011/9/1,2014/3/31,61,132797,6,0.734098361
2012/8/26,2014/3/31,67,123556,1,0.788739195
2006/4/19,2014/3/31,52,125190,30,0.778333174
2011/3/21,2014/3/31,21,138363,13,0.704172358
2011/9/18,2014/3/31,100,116315,9,0.8364076
2008/3/21,2014/3/31,119,100147,1,0.971327249
2005/2/26,2014/3/31,79,74503,20,1.305487564
2009/8/27,2014/3/31,101,118160,4,0.822947613
2005/9/9,2014/3/31,116,129478,5,0.750052132
2011/4/9,2014/3/31,42,74368,85,1.303695272
2005/4/9,2014/3/31,82,126149,3,0.767930622
2005/10/7,2014/3/31,96,134194,11,0.72174598
2008/8/28,2014/3/31,79,124218,11,0.779597965
2006/3/17,2014/3/31,133,143216,4,0.675632052
2009/2/22,2014/3/31,73,134897,15,0.717086814
2006/3/28,2014/3/31,58,122349,1,0.790434004
2008/9/23,2014/3/31,19,130168,135,0.742307172
2013/1/20,2014/3/31,62,76356,1,1.265360941
2007/11/17,2014/3/31,46,67761,5,1.425841856
2011/6/2,2014/3/31,38,66550,16,1.450518407
2010/7/21,2014/3/31,65,112320,23,0.858959758
2012/12/7,2014/3/31,15,99645,13,0.968166892
2010/5/27,2014/3/31,93,127824,2,0.754275019
2008/10/20,2014/3/31,13,147883,6,0.651163082
2007/12/3,2014/3/31,60,118514,4,0.811934708
2010/9/25,2014/3/31,93,117159,2,0.82114127
2011/11/25,2014/3/31,83,134851,15,0.712543548
2012/6/23,2014/3/31,44,108388,16,0.886273019
2005/9/8,2014/3/31,62,112125,8,0.855358305
2010/11/10,2014/3/31,89,78410,2,1.221743017
2005/2/28,2014/3/31,78,121245,2,0.789605839
2007/4/17,2014/3/31,39,70142,26,1.3639718
2009/9/13,2014/3/31,101,102834,14,0.929938153
2010/1/2,2014/3/31,44,65769,17,1.452790676
2009/8/26,2014/3/31,31,69453,32,1.375394871
2009/7/15,2014/3/31,75,122158,7,0.781846052
2007/6/12,2014/3/31,93,106705,18,0.894763601
2010/4/1,2014/3/31,54,71496,20,1.33526505
2005/9/20,2014/3/31,73,76834,18,1.242032954
2005/4/6,2014/3/31,70,98334,2,0.969874916
2008/3/13,2014/3/31,36,102876,14,0.926531747
2008/1/10,2014/3/31,45,67936,5,1.401278409
2008/10/16,2014/3/31,97,66431,14,1.432786199
2009/10/20,2014/3/31,107,132823,10,0.715139321
2008/3/3,2014/3/31,123,111589,8,0.850722921
2011/8/6,2014/3/31,38,67361,29,1.408719882
2007/4/19,2014/3/31,98,129338,13,0.733567861
2007/8/7,2014/3/31,33,65345,7,1.451830132
2008/11/8,2014/3/31,39,68043,6,1.393603751
2010/9/20,2014/3/31,72,73670,8,1.286411022
2010/10/14,2014/3/31,83,126476,6,0.749031121
2005/3/5,2014/3/31,66,121756,4,0.777650711
2008/3/27,2014/3/31,46,120983,37,0.78231049
2004/11/12,2014/3/31,65,102504,9,0.923260068
2007/5/10,2014/3/31,99,123899,5,0.763360156
2009/3/8,2014/3/31,54,64453,4,1.463962112
2007/3/12,2014/3/31,65,107397,16,0.878302187
2006/5/24,2014/3/31,27,100143,243,0.941445133
2009/2/1,2014/3/31,36,72186,21,1.302530408
2011/8/19,2014/3/31,61,71752,20,1.306106868
2006/11/10,2014/3/31,49,65717,32,1.425973949
2008/6/16,2014/3/31,46,71260,3,1.314534381
2008/3/1,2014/3/31,103,125149,6,0.746901054
2007/6/17,2014/3/31,52,76072,73,1.228696235
2012/9/15,2014/3/31,36,68799,9,1.35804096
2009/7/20,2014/3/31,37,66530,12,1.402335037
2005/11/2,2014/3/31,100,64900,14,1.4373
2007/9/17,2014/3/31,51,87589,7,1.06409081
2006/12/25,2014/3/31,69,125139,12,0.742781227
2012/6/26,2014/3/31,82,109233,8,0.850807631
2012/10/20,2014/3/31,13,95577,17,0.971737343
2011/2/25,2014/3/31,65,74458,25,1.246913025
2012/4/18,2014/3/31,45,74389,5,1.247410235
2007/2/26,2014/3/31,118,137477,2,0.67473221
2008/5/7,2014/3/31,75,127816,11,0.725720724
2011/5/20,2014/3/31,56,117444,1,0.789488352
2007/3/12,2014/3/31,73,128233,6,0.720501275
2010/10/17,2014/3/31,66,82682,17,1.116894004
2011/7/2,2014/3/31,21,139888,6,0.660121097
2008/7/21,2014/3/31,78,114244,4,0.807724519
2008/6/1,2014/3/31,90,122350,2,0.753979567
2004/11/4,2014/3/31,80,120362,8,0.766244247
2012/2/22,2014/3/31,20,121103,85,0.761441087
2005/1/4,2014/3/31,80,117968,31,0.781219907
2005/1/18,2014/3/31,95,104659,34,0.87833354
2006/10/25,2014/3/31,99,117708,2,0.780552044
2007/3/14,2014/3/31,90,128188,17,0.716619964
2007/7/1,2014/3/31,33,63453,1,1.447113927
2005/6/1,2014/3/31,73,110537,12,0.830436144
2006/5/23,2014/3/31,127,124500,18,0.737284819
2011/7/3,2014/3/31,83,114627,158,0.800316069
2011/12/25,2014/3/31,27,90731,8,1.010241814
2010/3/25,2014/3/31,97,149015,1,0.614937825
2006/6/1,2014/3/31,77,104572,7,0.875997495
2009/12/20,2014/3/31,19,86805,65,1.053728357
2007/1/14,2014/3/31,13,125853,41,0.72670131
2005/3/17,2014/3/31,139,129859,1,0.703798197
2005/7/8,2014/3/31,86,113677,6,0.803908618
2005/5/23,2014/3/31,82,123788,2,0.737626911
2006/6/5,2014/3/31,41,91797,31,0.9943289
2009/11/11,2014/3/31,72,120888,2,0.755011912
